Angular frequency (rad/s),Step time (min),Temperature (degC),Oscillation strain (%),Oscillation stress (Mpa),Tan(delta),Storage modulus (Mpa),Loss modulus (Mpa)
6.28319,538.005,35,0.360709,4.60086,0.108677,1268.04,137.807
13.5367,550.825,35,0.344597,4.60382,0.107522,1328.35,142.827
29.164,563.415,35,0.32955,4.60792,0.105909,1390.47,147.263
62.8319,575.676,35.01,0.31702,4.63388,0.104262,1453.82,151.578
135.367,589.014,35.01,0.311844,4.7542,0.102449,1516.61,155.375
291.64,602.496,35.01,0.340285,5.37796,0.102192,1572.24,160.67
628.318,615.879,35.03,0.501401,7.98025,0.100935,1583.54,159.835
6.28319,11.5894,39.99,0.423484,4.6008,0.125804,1077.92,135.606
13.5367,24.4084,39.99,0.40102,4.60388,0.122674,1139.5,139.787
29.164,36.9925,39.99,0.380542,4.60881,0.119532,1202.56,143.744
62.8319,49.2532,39.99,0.363851,4.63839,0.116639,1266.22,147.691
135.367,62.589,39.99,0.356969,4.77502,0.113939,1329.06,151.432
291.64,76.0717,40,0.39473,5.49569,0.113123,1383.44,156.5
628.318,89.4545,40.02,0.500475,7.08421,0.112802,1406.58,158.664
6.28319,11.5033,44.98,0.499762,4.51798,0.153489,893.563,137.152
13.5367,24.3214,44.98,0.475738,4.60409,0.146291,957.585,140.086
29.164,36.9147,44.98,0.446616,4.61,0.140153,1022.22,143.267
62.8319,49.1765,44.98,0.423557,4.64416,0.135053,1086.6,146.749
135.367,62.5138,44.98,0.414195,4.80133,0.130649,1149.43,150.172
291.64,75.9966,44.99,0.466639,5.65003,0.128883,1200.86,154.77
628.318,89.3795,45.04,0.498862,6.08781,0.131209,1209.97,158.759
6.28319,11.5837,49.94,0.499489,3.71471,0.181878,731.698,133.08
13.5367,24.4189,49.94,0.499703,4.02154,0.171156,793.252,135.77
29.164,37.0102,49.94,0.499826,4.32119,0.162388,853.361,138.575
62.8319,49.277,49.94,0.499938,4.6147,0.155435,912.101,141.773
135.367,62.6144,49.95,0.493268,4.8376,0.149666,969.922,145.165
291.64,76.0973,49.96,0.500113,5.17027,0.146981,1022.83,150.337
628.318,99.5493,49.98,0.500971,5.46172,0.143879,1079.11,155.262
6.28319,11.5873,54.94,0.499486,3.18426,0.200544,625.062,125.352
13.5367,24.4151,54.94,0.49974,3.46729,0.188495,681.812,128.518
29.164,37.0074,54.94,0.499844,3.74224,0.178665,737.011,131.678
62.8319,49.2748,54.95,0.500003,4.01264,0.170897,791.055,135.189
135.367,62.621,54.95,0.500003,4.27509,0.164432,843.682,138.728
291.64,76.1036,54.97,0.500057,4.52458,0.161463,893.244,144.226
628.318,99.5555,54.99,0.493139,4.74445,0.157178,950.422,149.385
6.28319,11.6252,59.95,0.499488,2.7239,0.219981,532.604,117.163
13.5367,24.4609,59.95,0.499777,2.98754,0.206549,585.417,120.917
29.164,37.0566,59.95,0.499875,3.24433,0.195476,636.974,124.513
62.8319,49.3276,59.96,0.500036,3.49844,0.186671,687.758,128.385
135.367,62.6765,59.96,0.50001,3.74539,0.179483,737.281,132.329
291.64,76.1584,59.98,0.500047,3.97936,0.176057,783.743,137.984
628.319,102.045,60,0.495189,4.21024,0.171892,837.941,144.035
6.28319,11.5911,64.95,0.499441,2.29886,0.242924,447.279,108.655
13.5367,24.4143,64.96,0.499777,2.54622,0.227957,496.728,113.232
29.164,37.0135,64.96,0.499886,2.78961,0.215315,545.546,117.464
62.8319,49.2879,64.96,0.500069,3.03224,0.205214,593.986,121.894
135.367,62.637,64.97,0.500042,3.26856,0.197009,641.33,126.347
291.64,76.1189,64.98,0.500021,3.49397,0.192624,686.151,132.169
628.319,100.616,65,0.495752,3.72396,0.186236,738.476,137.531
6.28319,11.4468,69.97,0.499094,1.87645,0.272083,362.782,98.7068
13.5367,24.2803,69.98,0.499618,2.11395,0.254735,410.02,104.446
29.164,36.8697,69.98,0.499794,2.34773,0.239787,456.79,109.532
62.8319,49.1446,69.98,0.500014,2.58211,0.227801,503.509,114.7
135.367,62.4932,69.98,0.499994,2.81226,0.218129,549.537,119.87
291.64,75.9756,69.99,0.499894,3.02986,0.212484,592.864,125.974
628.318,99.6846,70,0.49673,3.26871,0.20475,644.671,131.996
6.28319,11.5418,74.96,0.49929,1.53955,0.299912,295.351,88.5793
13.5367,23.9056,74.96,0.499733,1.7525,0.282054,337.519,95.1986
29.164,36.4964,74.97,0.499861,1.96858,0.266149,380.576,101.29
62.8319,48.763,74.97,0.500066,2.1899,0.252931,424.553,107.383
135.367,62.1082,74.98,0.500034,2.40922,0.242225,468.271,113.427
291.64,75.5901,74.99,0.499847,2.61604,0.235355,509.448,119.901
628.318,99.1341,75.01,0.498093,2.86257,0.231305,559.922,129.513
6.28319,11.2907,79.95,0.499215,1.21643,0.334173,231.106,77.2293
13.5367,23.6608,79.96,0.499695,1.40811,0.315697,268.721,84.8344
29.164,36.2516,79.96,0.499838,1.60736,0.298675,308.127,92.0297
62.8319,48.4191,79.97,0.500083,1.81512,0.284032,349.153,99.1704
135.367,61.7248,79.98,0.50003,2.02415,0.272099,390.604,106.283
291.64,75.2072,79.99,0.49964,2.21837,0.263677,429.32,113.202
628.318,98.6901,80.01,0.498346,2.46235,0.25997,478.209,124.32
6.28319,11.2165,84.95,0.499145,0.93526,0.370873,175.68,65.1549
13.5367,23.5763,84.96,0.499653,1.10289,0.353099,208.138,73.4933
29.164,36.1657,84.96,0.499811,1.28203,0.335829,243.157,81.6592
62.8319,48.3312,84.97,0.500084,1.47322,0.320306,280.554,89.8632
135.367,61.6379,84.98,0.500005,1.67,0.307048,319.285,98.0359
291.64,75.2502,84.99,0.499277,1.84833,0.297526,354.829,105.571
